model,deep_swe_avg_cost_usd,tier,basis,source_url
Claude Opus 5,11.84,High cost,DeepSWE v1.1 best-listed configuration average cost per task,https://deepswe.datacurve.ai/
Claude Sonnet 5,26.4,High cost,DeepSWE v1.1 best-listed configuration average cost per task,https://deepswe.datacurve.ai/
Claude Sonnet 4.6,5.52,High cost,DeepSWE v1.1 best-listed configuration average cost per task,https://deepswe.datacurve.ai/
Claude Fable 5,13.41,High cost,DeepSWE v1.1 best-listed configuration average cost per task,https://deepswe.datacurve.ai/
Claude Opus 4.8,13.22,High cost,DeepSWE v1.1 best-listed configuration average cost per task,https://deepswe.datacurve.ai/
GPT-5.6 Sol,6.46,High cost,DeepSWE v1.1 best-listed configuration average cost per task,https://deepswe.datacurve.ai/
Gemini 3.1 Pro,2.14,Medium cost,DeepSWE v1.1 best-listed configuration average cost per task,https://deepswe.datacurve.ai/
GPT-5.6 Terra,4.95,Medium cost,DeepSWE v1.1 best-listed configuration average cost per task,https://deepswe.datacurve.ai/
Gemini 3.6 Flash,2.21,Medium cost,DeepSWE v1.1 best-listed configuration average cost per task,https://deepswe.datacurve.ai/
Kimi K3,4.65,Medium cost,DeepSWE v1.1 best-listed configuration average cost per task,https://deepswe.datacurve.ai/
GPT-5.6 Luna,0.61,Low cost,DeepSWE v1.1 best-listed configuration average cost per task,https://deepswe.datacurve.ai/
DeepSeek V4 Flash 0731,0.46,Low cost,DeepSWE v1.1 best-listed configuration average cost per task,https://deepswe.datacurve.ai/
MiniMax M3,,Low cost,Official API token-pricing fallback; no comparable DeepSWE result,https://platform.minimax.io/subscribe/token-plan?tab=api-enterprise
Claude Haiku 4.5,,,No comparable DeepSWE result; excluded from cost-tier figures,
