Timestamp,Your First choice Agent App / Agent Harness,Model,Do you use another AI coding setup / Model at least once per week?,Agent / Harness (Optional),Model  (Optional),Agent / Harness,Model,Agent / Harness,Model,how much does your AI coding-agent usage cost per month in total?
8/13/2026 14:37:18,Claude (Code/Desktop code mode),Claude Opus 5,yes,Antigravity,I don't know / automatically selected,,,,,200-499 EUR
8/13/2026 14:37:32,Claude (Code/Desktop code mode),Claude Opus 5,yes,Codex (app/cli),GPT-5.6 Sol,Other,DeepSeek V4 Flash 0731,,,Flat Rate Subscription (e.g. Gemini)
8/13/2026 14:38:12,OpenCode,GPT-5.6 Terra,yes,OpenCode,Claude Fable 5,OpenCode,Claude Opus 5,,,"1,000 EUR or more"
8/13/2026 14:38:40,Claude (Code/Desktop code mode),Claude Opus 5,yes,GitHub Copilot (CLI/VSCode),GPT-5.6 Terra,Antigravity,Gemini 3.1 Pro,,,Flat Rate Subscription (e.g. Gemini)
8/13/2026 14:40:45,Claude (Code/Desktop code mode),Claude Opus 5,yes,Antigravity,Gemini 3.6 Flash,,,,,100-199 EUR
8/13/2026 14:41:29,Claude (Code/Desktop code mode),Claude Opus 5,no,,,,,,,I don't know
8/13/2026 14:42:02,Claude (Code/Desktop code mode),Other,yes,Antigravity,Gemini 3.1 Pro,,,,,20-49 EUR
8/13/2026 14:42:49,Claude (Code/Desktop code mode),Claude Sonnet 4.6,yes,OpenCode,Kimi K3,OpenCode,GPT-5.6 Terra,,,I don't know
8/13/2026 14:44:05,Claude (Code CLI/Desktop code mode),Claude Sonnet 5,no,,,,,,,100-199 EUR
8/13/2026 14:44:36,Claude (Code/Desktop code mode),Claude Sonnet 4.6,yes,Claude (Code CLI/Desktop code mode),Other,Claude (Code CLI/Desktop code mode),Claude Opus 5,,,200-499 EUR
8/13/2026 14:46:16,Claude (Code CLI/Desktop code mode),Claude Sonnet 4.6,yes,Codex (app/cli),GPT-5.6 Sol,,,,,20-49 EUR
8/13/2026 14:47:23,Claude (Code CLI/Desktop code mode),Claude Opus 5,yes,Pi,GPT-5.6 Luna,,,,,I don't know
8/13/2026 14:47:55,Claude (Code CLI/Desktop code mode),Claude Opus 5,yes,Claude (Code CLI/Desktop code mode),Claude Opus 5,,,,,20-49 EUR
8/13/2026 14:57:57,Claude (Code CLI/Desktop code mode),Claude Sonnet 5,yes,OpenCode,Kimi K3,,,,,200-499 EUR
8/13/2026 15:02:22,OpenCode,GPT-5.6 Terra,yes,Claude (Code CLI/Desktop code mode),Claude Sonnet 4.6,GitHub Copilot (CLI/VSCode),GPT-5.6 Terra,,,20-49 EUR
8/13/2026 15:03:21,Claude (Code CLI/Desktop code mode),Claude Sonnet 5,yes,Claude (Code CLI/Desktop code mode),Claude Opus 5,Claude (Code CLI/Desktop code mode),Claude Haiku 4.5,,,
8/13/2026 15:06:38,Claude (Code CLI/Desktop code mode),Claude Fable 5,yes,Codex (app/cli),I don't know / automatically selected,,,,,"1,000 EUR or more"
8/13/2026 15:14:16,Other,Claude Opus 5,yes,Codex (app/cli),GPT-5.6 Terra,Claude (Code CLI/Desktop code mode),Claude Opus 5,GitHub Copilot (CLI/VSCode),GPT-5.6 Terra,Flat Rate Subscription (e.g. Gemini)
8/13/2026 15:14:58,OpenCode,Other,yes,Claude (Code CLI/Desktop code mode),Other,,,,,Flat Rate Subscription (e.g. Gemini)
8/13/2026 15:20:15,Claude (Code CLI/Desktop code mode),Claude Opus 5,yes,Codex (app/cli),GPT-5.6 Sol,,,,,Flat Rate Subscription (e.g. Gemini)
8/13/2026 15:24:54,Claude (Code CLI/Desktop code mode),Claude Opus 5,yes,OpenCode,Other,,,,,Flat Rate Subscription (e.g. Gemini)
8/13/2026 15:25:26,OpenCode,Claude Sonnet 4.6,yes,Claude (Code CLI/Desktop code mode),Claude Opus 5,GitHub Copilot (CLI/VSCode),I don't know / automatically selected,,,100-199 EUR
8/13/2026 15:38:55,OpenCode,MiniMax M3,yes,OpenCode,Other,OpenCode,Other,OpenCode,Other,50-99 EUR
