task_name,model,pa1_model,reasoning_effort,provider,passed,n_agent_steps,n_input_tokens,n_cache_tokens,n_output_tokens,agent_duration_seconds,started_at
boa-hierarchical-evaluation-cancellation,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,True,255,34828664,34693504,112875,2051.137265,2026-08-05T19:27:21.330270Z
boa-hierarchical-evaluation-cancellation,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,True,236,38300077,38137344,112761,2196.573401,2026-08-05T22:17:57.478270Z
boa-hierarchical-evaluation-cancellation,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,False,208,31062592,30926592,107239,2151.543605,2026-08-05T22:17:57.532919Z
boa-hierarchical-evaluation-cancellation,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,True,272,40810654,40660736,118703,2433.692482,2026-08-06T04:48:52.612616Z
csstree-shorthand-expansion-compression,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,False,130,13488829,13397632,109687,1247.196625,2026-08-05T19:07:04.912711Z
csstree-shorthand-expansion-compression,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,False,200,24777711,24678784,125708,1588.830018,2026-08-05T19:55:45.458080Z
csstree-shorthand-expansion-compression,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,False,156,19211783,19104128,126722,1407.688257,2026-08-05T22:17:57.496590Z
csstree-shorthand-expansion-compression,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,False,190,24277381,24173952,113903,1373.42667,2026-08-05T23:00:09.443508Z
effect-sse-httpapi-streaming,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,False,228,41321882,41156736,141540,2361.418056,2026-08-05T19:31:54.285437Z
effect-sse-httpapi-streaming,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,False,253,44374013,44182400,125529,2227.124306,2026-08-05T20:17:53.044287Z
effect-sse-httpapi-streaming,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,False,216,32471364,32326016,132359,1978.789465,2026-08-05T22:35:46.595425Z
effect-sse-httpapi-streaming,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,True,249,39924591,39760128,124292,2168.412346,2026-08-06T04:48:52.625141Z
expr-try-catch-errors,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,False,201,35340975,35170816,120560,1627.514041,2026-08-05T19:07:04.897607Z
expr-try-catch-errors,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,False,168,24321783,24179200,106104,1589.272085,2026-08-05T19:49:51.653982Z
expr-try-catch-errors,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,False,190,27100437,26970368,114072,1495.008771,2026-08-05T22:17:57.489509Z
expr-try-catch-errors,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,False,174,29301000,29141888,106924,1380.779887,2026-08-05T22:52:11.055874Z
fastapi-implicit-head-options,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,False,181,22864751,22759040,133051,1641.152188,2026-08-05T19:28:39.044309Z
fastapi-implicit-head-options,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,True,183,21062160,20958848,99024,1281.392588,2026-08-05T20:14:59.033890Z
fastapi-implicit-head-options,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,False,237,29435299,29323136,113951,1401.297889,2026-08-05T22:31:22.129426Z
fastapi-implicit-head-options,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,False,264,38311094,38168576,122270,1815.87411,2026-08-06T04:48:52.615498Z
katex-multicolumn-array-spans,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,False,165,20238746,20113152,86166,1439.07519,2026-08-05T19:07:04.893651Z
katex-multicolumn-array-spans,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,True,141,16397895,16290048,114161,1468.871502,2026-08-05T19:47:56.389842Z
katex-multicolumn-array-spans,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,False,155,19638620,19502080,110330,1547.776588,2026-08-05T20:34:03.085942Z
katex-multicolumn-array-spans,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,True,191,26007577,25841152,108941,1566.620857,2026-08-05T22:50:09.328543Z
koota-composite-trait-aspects,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,False,157,25014363,24862464,133593,1599.753244,2026-08-05T19:07:04.921658Z
koota-composite-trait-aspects,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,False,133,19080958,18943104,115983,1311.407398,2026-08-05T19:58:46.934539Z
koota-composite-trait-aspects,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,False,145,23885259,23750400,124441,1453.406562,2026-08-05T22:17:57.504782Z
koota-composite-trait-aspects,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,False,127,22891476,22709632,122121,1472.906644,2026-08-06T04:48:52.601074Z
oxvg-structural-selector-preservation,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,True,171,27284582,27101568,107851,1747.606019,2026-08-05T19:28:07.395369Z
oxvg-structural-selector-preservation,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,True,234,36988815,36804992,97613,1855.528937,2026-08-05T22:17:57.479931Z
oxvg-structural-selector-preservation,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,False,331,68921057,68697600,154734,2980.616225,2026-08-05T22:17:57.535478Z
oxvg-structural-selector-preservation,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,False,207,28753087,28595712,87537,1694.471148,2026-08-06T04:48:52.614622Z
python-statemachine-state-data-scoping,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,True,223,38687419,38510208,114960,1774.129043,2026-08-05T19:07:04.873307Z
python-statemachine-state-data-scoping,deepseek-v4-flash,deepseek-v4-flash (not V4.1),max,deepseek,True,182,31687927,31511040,109555,1430.821413,2026-08-05T19:35:30.876366Z
